Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
1160 Central Ave (Sunset Lanes),193,,,"1, 807",Colonie,UNKNOWN,No,No,No,No,Yes,No,
River St & 101st St,852,,,802,Troy,REGATTA PLACE,No,No,No,No,Yes,No,
Whitehall Rd & Picotte Dr,1194,,,"801, 803",Albany,UNKNOWN,No,No,No,No,No,No,
Rt 50  & 5th St,1737,-73.957117,42.832875,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.832875, -73.957117)"
Craig St & Duane Ave,3606,,,"353, 873",Schenectady,LINCOLN AVENUE,No,No,No,No,Yes,No,
,1,,,,,,No,No,No,No,Yes,No,
Shaker Place,10512,-73.81481,42.743285,"117, 155",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.743285, -73.81481)"
Ormond St & Berkshire Blvd,10656,,,"803, 806",Albany,UNKNOWN,No,No,No,No,No,No,
Grafton Lake State Park,11707,,,96,Grafton,UNKNOWN,Yes,No,No,No,Yes,No,
Old Wolf Rd & Northway Ln,12701,,,190,Colonie,UNKNOWN,No,No,No,No,Yes,No,
Lake Ave & Nelson Ave,11491,-73.776321,43.08347,451,Saratoga Springs,WARREN STREET,No,No,No,No,Yes,No,"(43.08347, -73.776321)"
Rt 50 & Hetchel Town Rd,2311,-73.91172,42.89706,450,Glenville,HETCHELTOWN ROAD,No,No,No,No,Yes,No,"(42.89706, -73.91172)"
Henry Johnson Blvd & Central Ave,3003,-73.764727,42.65851,"182, 737, 803",Albany,CENTRAL AVENUE,Yes,No,No,No,Yes,No,"(42.65851, -73.764727)"
Central Ave & Van Buren Ave,190,-73.81338,42.70037,"1, 807",Colonie,AHL AVENUE,No,No,No,No,Yes,No,"(42.70037, -73.81338)"
Henry Johnson Blvd & 1st St,11615,-73.760793,42.66172,"182, 737, 801, 803",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.66172, -73.760793)"
,2409,,,,,,No,No,No,No,Yes,No,
5th Ave & 120th St,4465,-73.67099,42.77986,85,Troy,120TH STREET,No,No,No,No,Yes,No,"(42.77986, -73.67099)"
Congress St & 15th St,10037,-73.67957,42.7227,"286, 289, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.7227, -73.67957)"
Quail St & Madison Ave,3482,-73.77976,42.65948,"100, 801, 803",Albany,HAMILTON STREET,No,No,No,No,Yes,No,"(42.65948, -73.77976)"
Clizbe Ave & Northern Blvd,13268,,,600,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,
Normansill Preserve West (Nature Bus),12992,,,,Bethlehem,NORMANSKILL BOULEVARD,No,No,No,No,No,No,
TSP South Pearl @ First Ave SB CI,5525,-73.76051266,42.6366964,923,Albany,2ND AVENUE,No,No,No,No,Yes,No,"(42.6366964, -73.76051266)"
TSP Clinton Ave @ Broadway EB CO,5340,-73.74880632,42.65401433,"922, 923",Albany,US 9,No,No,No,No,No,No,"(42.65401433, -73.74880632)"
